SHIP 663381 224128 640278 220834 25000 10 5 30 255 153 153 "Bjarni_Sæmundsson"
STAT 671 5 -3 663615 215451 663716 214461 2215 #
STAT 621 13 -4 660480 211419 660876 211483 887 # 162  mín frá ( 571-1-2 )\\
STAT 621 12 -2 661693 211695 661533 211270 272 # 147  mín frá ( 621-13-4 )\\
STAT 621 11 -2 661996 210297 661600 210307 598 # 119  mín frá ( 621-12-2 )\\
STAT 620 2 -1 662473 204809 662869 204808 212 # 161  mín frá ( 621-11-2 )\\
STAT 670 15 -3 663400 204281 663010 204200 792 # 142  mín frá ( 620-2-1 )\\
STAT 621 1 -2 663041 210090 662697 210591 313 # 148  mín frá ( 670-15-3 )\\
STAT 621 4 -2 662032 212053 662390 212484 844 # 138  mín frá ( 621-1-2 )\\
STAT 621 2 -2 662463 211584 662828 211986 868 # 111  mín frá ( 621-4-2 )\\
PORT 660489 230673 "Ísafjörður" 1 # 
STAT 624 5 -4 660810 241261 660421 241465 7263 # 1033  mín frá ( 621-2-2 )\\
STAT 573 11 -1 654911 235448 655235 240012 436 # 215  mín frá ( 624-5-4 )\\
STAT 574 36 -4 654050 241704 653930 241042 120 # Mikið af krossfisk\\  \\ 154  mín frá ( 573-11-1 )\\
STAT 574 15 -4 653905 241105 654212 240715 278 # 99  mín frá ( 574-36-4 )\\
STAT 523 35 -1 651616 235014 651751 234519 1878 # 318  mín frá ( 574-15-4 )\\
STAT 523 36 -1 651902 233574 652047 233091 1457 # 90  mín frá ( 523-35-1 )\\
STAT 523 37 -3 651427 232829 651262 233270 390 # 103  mín frá ( 523-36-1 )\\
STAT 523 31 -4 651237 231599 651089 232478 851 # 127  mín frá ( 523-37-3 )\\
STAT 523 1 -3 650325 233075 650232 233985 1731 # 133  mín frá ( 523-31-4 )\\
STAT 523 12 -3 650048 234291 650000 235226 1184 # 106  mín frá ( 523-1-3 )\\
STAT 473 2 -1 650029 235011 645886 235565 571 # 115  mín frá ( 523-12-3 )\\
STAT 523 38 -3 650898 235607 650791 240519 1130 # 211  mín frá ( 473-2-1 )\\
STAT 524 2 -4 650141 242612 650226 243528 1306 # 145  mín frá ( 523-38-3 )\\
STAT 474 2 -1 645619 244764 645482 245647 1105 # 127  mín frá ( 524-2-4 )\\
STAT 474 12 -2 645138 241148 644815 241686 2429 # 212  mín frá ( 474-2-1 )\\
PORT 640278 220834 "Hafnarfjörður" 1 # 
SHIP 640753 221214 640278 220834 25000 10 5 30 153 153 255 "Árni_Friðrikson" 
STAT 472 11 -3 643450 224867 643839 224473 310 #
STAT 473 1 -4 643451 230243 643082 230582 1694 # 147  mín frá ( 472-11-3 )\\
STAT 473 11 -3 643670 233514 643519 234344 657 # 180  mín frá ( 473-1-4 )\\
STAT 474 1 -4 643122 242193 642942 242986 2498 # 216  mín frá ( 473-11-3 )\\
STAT 474 13 -4 643348 242947 643570 243657 864 # 110  mín frá ( 474-1-4 )\\
STAT 474 11 -3 643716 243202 643571 244042 485 # 107  mín frá ( 474-13-4 )\\
STAT 475 13 -4 644127 250444 643981 251290 554 # 157  mín frá ( 474-11-3 )\\
STAT 475 2 -2 644611 252676 644458 253523 535 # 136  mín frá ( 475-13-4 )\\
STAT 475 11 -1 644610 254476 644984 254770 953 # 108  mín frá ( 475-2-2 )\\
STAT 475 1 -3 644209 254627 644067 255487 1757 # 136  mín frá ( 475-11-1 )\\
STAT 475 12 -3 643669 255986 643273 255983 2784 # 110  mín frá ( 475-1-3 )\\
STAT 476 1 -4 644429 262661 644782 263085 5013 # 178  mín frá ( 475-12-3 )\\
STAT 476 12 -1 645891 263783 645728 264632 2594 # 146  mín frá ( 476-1-4 )\\
STAT 477 11 -2 645183 271292 645571 271487 542 # 175  mín frá ( 476-12-1 )\\
STAT 527 11 -4 650271 270399 650056 271177 3724 # 151  mín frá ( 477-11-2 )\\
STAT 526 12 -4 651041 270179 651435 270082 704 # 159  mín frá ( 527-11-4 )\\
STAT 527 1 -2 652137 270030 652533 270000 1064 # 121  mín frá ( 526-12-4 )\\
STAT 576 13 -3 653479 264383 653845 264011 1877 # 146  mín frá ( 527-1-2 )\\
STAT 576 2 -3 653879 263601 654239 263161 2191 # 93  mín frá ( 576-13-3 )\\
STAT 576 12 -1 654529 264269 654923 264111 8803 # 115  mín frá ( 576-2-3 )\\
STAT 623 12 -2 661527 230639 661206 231222 256 # 650  mín frá ( 576-12-1 )\\
STAT 622 11 -3 660491 224476 660609 224873 147 # 164  mín frá ( 623-12-2 )\\
STAT 622 1 -3 660855 225556 660925 225883 72 # 63  mín frá ( 622-11-3 )\\
PORT 660489 230673 "Ísafjörður" 1 # 
STAT 672 35 -3 663265 225226 663399 225595 20 # 1046  mín frá ( 622-1-3 )\\
STAT 672 14 -4 663459 222274 663853 222382 1129 # 125  mín frá ( 672-35-3 )\\
STAT 672 15 -4 663961 220586 664350 220783 605 # 121  mín frá ( 672-14-4 )\\
STAT 672 6 -2 665094 221432 665192 222415 2631 # 124  mín frá ( 672-15-4 )\\
STAT 672 3 -1 665395 223379 665676 222655 1625 # 106  mín frá ( 672-6-2 )\\
STAT 672 2 -2 665896 222574 665899 221557 812 # 98  mín frá ( 672-3-1 )\\
STAT 672 1 -2 665613 221338 665301 220711 2818 # 94  mín frá ( 672-2-2 )\\
STAT 721 1 -3 670185 213607 670448 212838 938 # 160  mín frá ( 672-1-2 )\\
STAT 721 11 -4 670168 211329 670549 211030 1607 # 121  mín frá ( 721-1-3 )\\
